Title,Runtime (Minutes)
Mine,106
Free Fire,90
X-Men: Days of Future Past,132
Jack Reacher: Never Go Back,118
Casino Royale,144
Twilight,122
Now You See Me 2,129
Woman in Gold,109
13 Hours,144
Spectre,148
Nightcrawler,118
Kubo and the Two Strings,101
Beyond the Gates,84
Her,126
Frozen,102
Tomorrowland,130
Dawn of the Planet of the Apes,130
Tropic Thunder,107
The Conjuring 2,134
Ant-Man,117
Bridget Jones's Baby,118
The VVitch: A New-England Folktale,92
Cinderella,105
Realive,112
Forushande,124
Love,135
Billy Lynn's Long Halftime Walk,113
Crimson Peak,119
Drive,100
Trainwreck,125
The Light Between Oceans,133
Below Her Mouth,94
Spotlight,128
Morgan,92
Warrior,140
Captain America: The First Avenger,124
Hacker,95
Into the Wild,148
The Imitation Game,114
Central Intelligence,107
Edge of Tomorrow,113
A Cure for Wellness,146
Snowden,134
Iron Man,126
Allegiant,120
X: First Class,132
Raw (II),99
Paterson,118
Bridesmaids,125
The Girl with All the Gifts,111
San Andreas,114
Spring Breakers,94
Transformers,144
Old Boy,104
Thor: The Dark World,112
Gods of Egypt,126
Captain America: The Winter Soldier,136
Monster Trucks,104
A Dark Song,100
Kick-Ass,117
Hardcore Henry,96
Cars,117
It Follows,100
The Girl with the Dragon Tattoo,158
We're the Millers,110
American Honey,163
The Lobster,119
Predators,107
Maleficent,97
Rupture,102
Pan's Labyrinth,118
A Kind of Murder,95
Apocalypto,139
Mission: Impossible - Rogue Nation,131
The Huntsman: Winter's War,114
The Perks of Being a Wallflower,102
Jackie,100
The Disappointments Room,85
The Grand Budapest Hotel,99
The Host,125
Fury,134
Inside Out,95
Rock Dog,90
Terminator Genisys,126
Percy Jackson & the Olympians: The Lightning Thief,118
Les Misérables,158
Children of Men,109
20th Century Women,119
Spy,119
The Intouchables,112
Bonjour Anne,92
Kynodontas,94
Straight Outta Compton,147
The Amazing Spider-Man 2,142
The Conjuring,112
The Hangover,100
Battleship,131
Rise of the Planet of the Apes,105
Lights Out,81
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,118
Birdman or (The Unexpected Virtue of Ignorance),119
Black Swan,108
Dear White People,108
Nymphomaniac: Vol. I,117
Teenage Mutant Ninja Turtles: Out of the Shadows,112
Knock Knock,99
Dirty Grandpa,102
Cloud Atlas,172
X-Men Origins: Wolverine,107
Satanic,85
Skyfall,143
The Hobbit: An Unexpected Journey,169
21 Jump Street,110
Sing Street,106
Ballerina,89
Oblivion,124
22 Jump Street,112
Zodiac,157
Everybody Wants Some!!,117
Iron Man Three,130
Now You See Me,115
Sherlock Holmes,128
Death Proof,113
The Danish Girl,119
Hercules,98
Sucker Punch,110
Keeping Up with the Joneses,105
Jupiter Ascending,127
Masterminds,95
Iris,99
Busanhaeng,118
Pitch Perfect,112
Neighbors 2: Sorority Rising,92
The Exception,107
Man of Steel,143
The Choice,111
Ice Age: Collision Course,94
The Devil Wears Prada,109
The Infiltrator,127
There Will Be Blood,158
The Equalizer,132
Lone Survivor,121
The Cabin in the Woods,95
The House Bunny,97
She's Out of My League,104
Inherent Vice,148
Alice Through the Looking Glass,113
Vincent N Roxxy,110
The Fast and the Furious: Tokyo Drift,104
How to Be Single,110
The Blind Side,129
La vie d'Adèle,180
The Babadook,93
The Hobbit: The Battle of the Five Armies,144
Harry Potter and the Order of the Phoenix,138
Snowpiercer,126
The 5th Wave,112
The Stakelander,81
The Visit,94
Fast Five,131
Step Up,104
Lovesong,84
RocknRolla,114
In Time,109
The Social Network,120
The Last Witch Hunter,106
Victor Frankenstein,110
A Street Cat Named Bob,103
Green Room,95
Blackhat,133
Storks,87
American Sniper,133
Dallas Buyers Club,117
Lincoln,150
Rush,123
Before I Wake,97
Silver Linings Playbook,122
Tracktown,88
The Fault in Our Stars,126
Blended,117
Fast & Furious,107
Looper,119
White House Down,131
Pete's Dragon,102
Spider-Man 3,139
The Three Musketeers,110
Stardust,127
American Hustle,138
Jennifer's Body,102
Midnight in Paris,94
Lady Macbeth,89
Joy,124
The Dressmaker,119
Café Society,96
Insurgent,119
Seventh Son,102
Demain tout commence,118
The Theory of Everything,123
This Is the End,107
About Time,123
Step Brothers,98
Clown,100
Star Trek Into Darkness,132
Zombieland,88
Hail Caesar!,106
Slumdog Millionaire,120
The Twilight Saga: Breaking Dawn - Part 2,115
American Wrestler: The Wizard,117
The Amazing Spider-Man,136
Ben-Hur,123
Sleight,89
The Maze Runner,113
Criminal,113
Wanted,110
Florence Foster Jenkins,111
Collide,99
Black Mass,123
Creed,133
Swiss Army Man,97
The Expendables 3,126
What We Do in the Shadows,86
Southpaw,124
Hush,81
Bridge of Spies,142
The Lego Movie,100
Everest,121
Pixels,105
Robin Hood,140
The Wolverine,126
John Carter,132
Keanu,100
The Gunman,115
Steve Jobs,122
Whisky Galore,98
Grown Ups 2,101
The Age of Adaline,112
The Incredible Hulk,112
Couples Retreat,113
Absolutely Anything,85
Magic Mike,110
Minions,91
The Black Room,91
Bronson,92
Despicable Me,95
The Best of Me,118
The Invitation,100
Zero Dark Thirty,157
Tangled,100
The Hunger Games: Mockingjay - Part 2,137
Vacation,99
Taken,93
Pitch Perfect 2,115
Monsters University,104
Elle,130
Mechanic: Resurrection,98
Tusk,102
The Headhunter's Calling,108
Atonement,123
Harry Potter and the Deathly Hallows: Part 1,146
Shame,101
Hanna,111
The Babysitters,88
Pride and Prejudice and Zombies,108
300: Rise of an Empire,102
London Has Fallen,99
The Curious Case of Benjamin Button,166
Sin City: A Dame to Kill For,102
The Bourne Ultimatum,115
Srpski film,104
The Purge: Election Year,109
3 Idiots,170
Zoolander 2,102
World War Z,116
Mission: Impossible - Ghost Protocol,132
Let Me Make You a Martyr,102
Filth,97
The Longest Ride,123
The imposible,114
Kick-Ass 2,103
Folk Hero & Funny Guy,88
Oz the Great and Powerful,130
Brooklyn,117
Coraline,100
Blue Valentine,112
The Thinning,81
Silent Hill,125
Dredd,95
Hunt for the Wilderpeople,101
Big Hero 6,102
Carrie,100
Iron Man 2,124
Demolition,101
Pandorum,108
Olympus Has Fallen,119
I Am Number Four,109
Jagten,115
The Proposal,108
Get Hard,100
Just Go with It,117
Revolutionary Road,119
The Town,125
The Boy,97
Denial,109
Predestination,97
Goosebumps,103
Sherlock Holmes: A Game of Shadows,129
Salt,100
Enemy,91
District 9,112
The Other Guys,107
American Gangster,157
Marie Antoinette,123
2012,158
Harry Potter and the Half-Blood Prince,153
Argo,120
Eddie the Eagle,106
The Lives of Others,137
Pet,94
Paint It Black,96
Macbeth,113
Forgetting Sarah Marshall,111
The Giver,97
Triple 9,115
Perfetti sconosciuti,97
Angry Birds,97
Moonrise Kingdom,94
Hairspray,117
Safe Haven,115
Focus,105
Ratatouille,111
Stake Land,98
The Book of Eli,118
Cloverfield,85
Point Break,114
Under the Skin,108
I Am Legend,101
Men in Black 3,106
Super 8,112
Law Abiding Citizen,109
Up,96
Maze Runner: The Scorch Trials,131
Carol,118
Imperium,109
Youth,124
Mr. Nobody,141
City of Tiny Lights,110
Savages,131
(500) Days of Summer,95
Movie 43,94
Gravity,91
The Boy in the Striped Pyjamas,94
Shooter,124
The Happening,91
Bone Tomahawk,132
Magic Mike XXL,115
Easy A,92
Exodus: Gods and Kings,150
Chappie,120
The Hobbit: The Desolation of Smaug,161
Half of a Yellow Sun,111
Anthropoid,120
The Counselor,117
Viking,133
Whiskey Tango Foxtrot,112
Trust,106
Birth of the Dragon,103
Elysium,109
The Green Inferno,100
Godzilla,123
The Bourne Legacy,135
A Good Year,117
Friend Request,92
Deja Vu,126
Lucy,89
A Quiet Passion,125
Need for Speed,132
Jack Reacher,130
The Do-Over,108
True Crimes,92
American Pastoral,108
The Ghost Writer,128
Limitless,105
Spectral,107
P.S. I Love You,126
Zipper,103
Midnight Special,112
Don't Think Twice,92
Alice in Wonderland,108
Chuck,98
The Break-up,106
Loving,123
Fantastic Four,100
The Survivalist,104
Colonia,106
The Boy Next Door,91
The Gift,108
Dracula Untold,92
In the Heart of the Sea,122
Idiocracy,84
The Expendables,103
Evil Dead,91
Sinister,110
Wreck-It Ralph,101
Snow White and the Huntsman,127
Pan,111
Transformers: Dark of the Moon,154
Juno,96
A Hologram for the King,98
Money Monster,98
The Other Woman,109
Enchanted,107
The Intern,121
Little Miss Sunshine,101
Bleed for This,117
Clash of the Titans,106
The Finest Hours,117
Tron,125
The Hunger Games: Catching Fire,146
All Good Things,101
Kickboxer: Vengeance,90
The Last Airbender,103
Sex Tape,94
What to Expect When You're Expecting,110
Moneyball,133
Ghost Rider,114
Unbroken,137
Immortals,110
Sunshine,107
Brave,93
Män som hatar kvinnor,152
Adoration,112
The Drop,106
She's the Man,105
Daddy's Home,96
Let Me In,116
Never Back Down,110
Grimsby,83
Moon,97
Megamind,95
Gangster Squad,113
Blood Father,88
He's Just Not That Into You,129
Kung Fu Panda 3,95
The Rise of the Krays,110
Handsome Devil,95
Winter's Bone,100
Horrible Bosses,98
Mommy,139
Hellboy II: The Golden Army,120
Beautiful Creatures,124
Toni Erdmann,162
The Lovely Bones,135
The Assassination of Jesse James by the Coward Robert Ford,160
Don Jon,90
Bastille Day,92
2307: Winter's Dream,101
Free State of Jones,139
Mr. Right,95
The Secret Life of Walter Mitty,114
Dope,103
Underworld Awakening,88
Antichrist,108
Friday the 13th,97
Taken 3,109
Total Recall,118
X-Men: The Last Stand,104
The Escort,88
The Whole Truth,93
Night at the Museum: Secret of the Tomb,98
Love & Other Drugs,112
The Interview,112
The Host,120
Megan Is Missing,85
WALL·E,98
Knocked Up,129
Source Code,93
Lawless,116
Unfriended,83
American Reunion,113
The Pursuit of Happyness,117
Relatos salvajes,122
The Ridiculous 6,119
Frantz,113
Viral,85
Gran Torino,116
Burnt,101
Tall Men,133
Sleeping Beauty,101
Vampire Academy,104
Sweeney Todd: The Demon Barber of Fleet Street,116
Solace,101
Insidious,103
Popstar: Never Stop Never Stopping,87
The Levelling,83
Public Enemies,140
Boyhood,165
Teenage Mutant Ninja Turtles,101
Eastern Promises,100
The Daughter,96
Pineapple Express,111
The First Time,95
Gone Baby Gone,114
The Heat,117
L'avenir,102
Anna Karenina,129
Regression,106
Ted 2,115
Pain & Gain,129
Blood Diamond,143
Devil's Knot,114
Child 44,137
The Hurt Locker,131
Green Lantern,114
War on Everyone,98
The Mist,126
Escape Plan,115
The DUFF,101
The Age of Shadows,140
The Hunger Games: Mockingjay - Part 1,123
We Need to Talk About Kevin,112
Love & Friendship,90
The Mortal Instruments: City of Bones,130
Seven Pounds,123
The King's Speech,118
Hunger,96
Jumper,88
Toy Story 3,103
Tinker Tailor Soldier Spy,122
Resident Evil: Retribution,96
Dear Zindagi,151
Genius,104
Pompeii,105
Life of Pi,127
Hachi: A Dog's Tale,93
10 Years,100
I Origins,106
Live Free or Die Hard,128
The Matchbreaker,94
Funny Games,111
Ted,106
RED,111
Australia,165
Faster,98
The Neighbor,87
The Adjustment Bureau,106
The Hollars,88
The Judge,141
Closed Circuit,96
Transformers: Revenge of the Fallen,150
La tortue rouge,80
The Book of Life,95
Incendies,131
The Heartbreak Kid,116
Happy Feet,108
Entourage,104
The Strangers,86
Noah,138
Neighbors,97
Nymphomaniac: Vol. II,123
Wild,115
Grown Ups,102
Blair Witch,89
The Karate Kid,140
Dark Shadows,113
Friends with Benefits,109
The Illusionist,110
The A-Team,117
The Guest,100
The Internship,119
Paul,104
This Beautiful Fantastic,100
The Da Vinci Code,149
Mr. Church,104
Hugo,126
The Blackcoat's Daughter,93
Body of Lies,128
Knight of Cups,118
The Mummy: Tomb of the Dragon Emperor,112
The Boss,99
Hands of Stone,111
El secreto de sus ojos,129
True Grit,110
We Are Your Friends,96
A Million Ways to Die in the West,116
Only for One Night,86
Rules Don't Apply,127
Ouija: Origin of Evil,99
Percy Jackson: Sea of Monsters,106
Fracture,113
Oculus,104
In Bruges,107
This Means War,103
Lída Baarová,106
The Road,111
Lavender,92
Deuces,87
Conan the Barbarian,113
The Fighter,116
August Rush,114
Chef,114
Eye in the Sky,102
Eagle Eye,118
The Purge,85
PK,153
Ender's Game,114
Indiana Jones and the Kingdom of the Crystal Skull,122
Paper Towns,109
High-Rise,119
Quantum of Solace,106
The Assignment,95
How to Train Your Dragon,98
Lady in the Water,110
The Fountain,96
Cars 2,106
31,102
Final Girl,90
Chalk It Up,90
The Man Who Knew Infinity,108
Unknown,113
Self/less,117
Mr. Brooks,120
Tramps,82
Before We Go,95
Captain Phillips,134
The Secret Scripture,108
Max Steel,92
Hotel Transylvania 2,89
Hancock,92
Sisters,118
The Family,111
Zack and Miri Make a Porno,101
Ma vie de Courgette,66
Man on a Ledge,102
No Strings Attached,108
Rescue Dawn,120
Despicable Me 2,98
A Walk Among the Tombstones,114
The World's End,109
Yoga Hosers,88
Seven Psychopaths,110
Beowulf,115
Jack Ryan: Shadow Recruit,105
1408,104
The Gambler,111
Prince of Persia: The Sands of Time,116
The Spectacular Now,95
A United Kingdom,111
USS Indianapolis: Men of Courage,128
Turbo Kid,93
Mama,100
Orphan,123
To Rome with Love,112
Fantastic Mr. Fox,87
Inside Man,129
I.T.,95
127 Hours,94
Annabelle,99
Wolves at the Door,73
Suite Française,107
The Imaginarium of Doctor Parnassus,123
G.I. Joe: The Rise of Cobra,118
Christine,119
Man Down,90
Crawlspace,88
Shut In,91
The Warriors Gate,108
Grindhouse,191
Disaster Movie,87
Rocky Balboa,102
Diary of a Wimpy Kid: Dog Days,94
Jane Eyre,120
Fool's Gold,112
The Dictator,83
The Loft,108
Bacalaureat,128
You Don't Mess with the Zohan,113
Exposed,102
Maudie,115
Horrible Bosses 2,108
A Bigger Splash,125
Melancholia,135
The Princess and the Frog,97
Unstoppable,98
Flight,138
Home,94
La migliore offerta,131
Mean Dreams,108
42,128
21,123
Begin Again,104
Out of the Furnace,116
Vicky Cristina Barcelona,96
Kung Fu Panda,92
Barbershop: The Next Cut,111
Terminator Salvation,115
Freedom Writers,123
The Hills Have Eyes,107
Changeling,141
Remember Me,113
Koe no katachi,129
Locke,85
The 9th Life of Louis Drax,108
Horns,120
Indignation,110
The Stanford Prison Experiment,122
Diary of a Wimpy Kid: Rodrick Rules,99
Mission: Impossible III,126
En man som heter Ove,116
Dragonball Evolution,85
Red Dawn,93
One Day,107
Life as We Know It,114
28 Weeks Later,100
Warm Bodies,98
Blue Jasmine,98
G.I. Joe: Retaliation,110
Wrath of the Titans,99
Shin Gojira,120
Saving Mr. Banks,125
Transcendence,119
Rio,96
Equals,101
Babel,143
The Tree of Life,139
The Lucky One,101
Piranha 3D,88
50/50,100
The Intent,104
This Is 40,134
Real Steel,127
Sex and the City,145
Rambo,92
Planet Terror,105
Concussion,123
The Fall,117
The Ugly Truth,96
Bride Wars,89
Sleeping with Other People,101
Snakes on a Plane,105
What If,98
How to Train Your Dragon 2,102
RoboCop,117
In Dubious Battle,110
Ocean's Thirteen,122
Slither,95
Contagion,106
Il racconto dei racconti - Tale of Tales,133
I Am the Pretty Thing That Lives in the House,87
Bridge to Terabithia,96
Coherence,89
Notorious,122
Goksung,156
The Expendables 2,103
The Girl Next Door,91
Perfume: The Story of a Murderer,147
The Golden Compass,113
Centurion,97
Scouts Guide to the Zombie Apocalypse,93
17 Again,102
No Escape,103
Superman Returns,154
The Twilight Saga: Breaking Dawn - Part 1,117
Precious,110
The Sea of Trees,110
Good Kids,86
The Master,144
Footloose,113
If I Stay,107
The Ticket,97
Detour,97
The Love Witch,120
Talladega Nights: The Ballad of Ricky Bobby,108
The Human Centipede (First Sequence),92
Super,96
The Siege of Jadotville,108
Up in the Air,109
The Midnight Meat Train,98
The Twilight Saga: Eclipse,124
Transpecos,86
What's Your Number?,106
Riddick,119
Triangle,99
The Butler,132
King Cobra,91
After Earth,100
Kicks,80
Me and Earl and the Dying Girl,105
The Descendants,115
Sex and the City 2,146
The Kings of Summer,95
Death Race,105
That Awkward Moment,94
Legion,100
End of Watch,109
3 Days to Kill,117
Lucky Number Slevin,110
Trance,101
Into the Forest,101
The Other Boleyn Girl,115
I Spit on Your Grave,108
Custody,104
Inland Empire,180
L'odyssée,122
The Walk,123
Wrecker,83
The Lone Ranger,150
Texas Chainsaw 3D,92
Disturbia,105
Rock of Ages,123
Scream 4,111
Queen of Katwe,124
My Big Fat Greek Wedding 2,94
Dark Places,113
Amateur Night,92
It's Only the End of the World,97
The Skin I Live In,120
Miracles from Heaven,109
Annie,118
Across the Universe,133
Let's Be Cops,104
Max,111
Your Highness,102
Final Destination 5,92
Endless Love,104
Martyrs,99
Selma,128
Underworld: Rise of the Lycans,92
Taare Zameen Par,165
Take Me Home Tonight,97
Resident Evil: Afterlife,97
Project X,88
Secret in Their Eyes,111
Hostel: Part II,94
Step Up 2: The Streets,98
Search Party,93
Nine Lives,87
